CC,CN,GDP,POP,URB
ABW,Aruba,5469871318.000274,107995.0,66731.12530953206
AGO,Angola,383352092457.2146,37885849.0,26768298.856916144
ALB,Albania,63473299185.70397,2377128.0,1391721.9974666878
AND,Andorra,6140390670.0909,81938.0,72830.59497215619
ARE,United Arab Emirates,870438615966.3387,10986400.0,9428210.844277095
ARG,Argentina,1390588639479.494,45696159.0,42165779.58672825
ARM,Armenia,69234115090.81447,3033500.0,1996387.8223432747
ATG,Antigua and Barbuda,3130689969.2916875,93772.0,22871.63963236101
AUS,Australia,1961194326932.4353,27196812.0,23824991.2272938
AUT,Austria,678357862822.3483,9177982.0,6375560.282259061
AZE,Azerbaijan,255978795500.50995,10202830.0,5976184.813869341
BDI,Burundi,16786357120.293833,14047786.0,3488105.140562128
BEL,Belgium,871779584488.1608,11858610.0,10389643.150230605
BEN,Benin,64135878351.03542,14462724.0,7599515.771060922
BFA,Burkina Faso,68194715212.16482,23548781.0,6672606.31910073
BGD,Bangladesh,1674316179059.488,173562364.0,56717264.06934927
BGR,Bulgaria,270342906713.71906,6441421.0,4763426.686909308
BHR,Bahrain,106347544575.2713,1588670.0,1588670.0
BHS,"Bahamas, The",16532030651.588049,401283.0,326343.1039909784
BIH,Bosnia and Herzegovina,79242668357.1604,3164253.0,1649285.5636652112
BLR,Belarus,301471104003.2604,9132629.0,7228941.756494032
BLZ,Belize,5983531291.027991,417072.0,174140.95107176778
BMU,Bermuda,8031206288.472349,64636.0,64636.0
