title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
Mission: Impossible 3,2006,,8 min,João Castillo,N/A,N/A,"Djaz Jaziri, Mohamed Mahayni, Daniel Vandeberg"
Mission: Impossible Ghost Protocol,2011,,132 min,Brad Bird,7.4,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","Tom Cruise, Jeremy Renner, Simon Pegg"
Mission: Impossible Rogue Nation,2015,,131 min,Christopher McQuarrie,7.4,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,"Tom Cruise, Rebecca Ferguson, Jeremy Renner"
Mission: Impossible Fallout,2018,,147 min,Christopher McQuarrie,7.7,"A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage.","Tom Cruise, Henry Cavill, Ving Rhames"
The Bourne Identity,2002,,119 min,Doug Liman,7.8,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.","Franka Potente, Matt Damon, Chris Cooper"
The Bourne Supremacy,2004,,108 min,Paul Greengrass,7.7,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.","Matt Damon, Franka Potente, Joan Allen"
The Bourne Ultimatum,2007,,115 min,Paul Greengrass,8.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,"Matt Damon, Edgar Ramírez, Joan Allen"
The Bourne Legacy,2012,,135 min,Tony Gilroy,6.6,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.","Jeremy Renner, Rachel Weisz, Edward Norton"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,,143 min,Gore Verbinski,8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.","Johnny Depp, Geoffrey Rush, Orlando Bloom"
Pirates of the Caribbean: Dead Man's Chest,2006,,151 min,Gore Verbinski,7.4,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.","Johnny Depp, Orlando Bloom, Keira Knightley"
Pirates of the Caribbean: At World's End,2007,,169 min,Gore Verbinski,7.1,"Will Turner, Elizabeth Swann, Hector Barbossa, and the crew of the Black Pearl try and rescue Jack from davy jones locker and prepare to fight Lord Cutler Beckett, who controls Davy Jones and the Flying Dutchman.","Johnny Depp, Orlando Bloom, Keira Knightley"
Indiana Jones and the Temple of Doom,1984,,118 min,Steven Spielberg,7.5,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a sacred stone stolen from them by a secret cult.","Harrison Ford, Kate Capshaw, Ke Huy Quan"
