title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
Phantom,1963,,98 min,Todd Robinson,5.9,"The haunted Captain of a Soviet submarine holds the fate of the world in his hands. Forced to leave his family behind, he is charged with leading a covert mission cloaked in mystery.","Ed Harris, Julian Adams, David Duchovny"
A Clockwork Orange,1971,,136 min,Stanley Kubrick,8.2,Alex DeLarge and his droogs barbarize a decaying near-future.,"Malcolm McDowell, Patrick Magee, Michael Bates"
Clockwork,1999,,7 min,Sam Raimi,5.3,"A very wealthy, but lonely woman is stalked in her home by a violent serial killer.","Cheryl Guttridge, Scott Spiegel"
Brazil,1985,,132 min,Terry Gilliam,7.8,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,"Jonathan Pryce, Kim Greist, Robert De Niro"
THX 1138,1971,,86 min,George Lucas,6.6,"In the 25th century, a time when people have designations instead of names, a man, THX 1138, and a woman, LUH 3417, rebel against their rigidly controlled society.","Robert Duvall, Donald Pleasence, Don Pedro Colley"
Star Wars: Episode IV,1977,,121 min,George Lucas,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...","Mark Hamill, Harrison Ford, Carrie Fisher"
Star Wars: Episode V,1980,,124 min,Irvin Kershner,8.7,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.","Mark Hamill, Harrison Ford, Carrie Fisher"
Star Wars: Episode VI,1983,,131 min,Richard Marquand,8.3,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.","Mark Hamill, Harrison Ford, Carrie Fisher"
Star Wars: Episode I,1999,,136 min,George Lucas,6.5,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long-dormant Sith resurface to claim their former glory.","Ewan McGregor, Liam Neeson, Natalie Portman"
Star Wars: Episode II,2002,,142 min,George Lucas,6.6,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.","Hayden Christensen, Natalie Portman, Ewan McGregor"
Star Wars: Episode III,2005,,140 min,George Lucas,7.6,"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination.","Hayden Christensen, Natalie Portman, Ewan McGregor"
Star Wars: The Force Awakens,2015,,N/A,N/A,2.8,"Scavenger girl Rey leaves her junkyard home to fulfill her destiny of escorting a robot around the galaxy. Mike Nelson, Bill Corbett, and Kevin Murphy are here to see if there's more to the story in this humorous commentary.","Bill Corbett, Kevin Murphy, Michael J. Nelson"
Star Wars: The Last Jedi,2017,,3 min,N/A,7.1,Two kids fight with light sabers around the house.,Taylor Clark
Star Wars: The Rise of Skywalker,2019,,N/A,N/A,N/A,"Ever since the original premiered in 1977, Star Wars fans have waited to see how the Skywalker saga would end.","Bill Corbett, Kevin Murphy, Michael J. Nelson"
Dune,1984,,137 min,David Lynch,6.3,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"Kyle MacLachlan, Virginia Madsen, Francesca Annis"
Dune,2021,,137 min,David Lynch,6.3,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"Kyle MacLachlan, Virginia Madsen, Francesca Annis"
Dune: Part Two,2024,,166 min,Denis Villeneuve,8.4,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible fu...","Timothée Chalamet, Zendaya, Rebecca Ferguson"
Flash Gordon,1980,,111 min,Mike Hodges,6.5,Football player Flash Gordon and his comrades travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth from its eventual destruction.,"Sam J. Jones, Melody Anderson, Max von Sydow"
Barbarella,1968,,98 min,Roger Vadim,5.9,"In the 41st century, an astronaut seeks to stop an evil scientist who threatens to unleash a powerful weapon upon the galaxy, partaking in sexy misadventures along the way.","Jane Fonda, John Phillip Law, Anita Pallenberg"
Planet of the Apes,1968,,120 min,Tim Burton,5.7,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.","Mark Wahlberg, Tim Roth, Helena Bonham Carter"
Escape from New York,1981,,99 min,John Carpenter,7.1,"In a dystopian 1997, a soldier-turned-bank robber is tasked with rescuing the U.S. President after he crashes into Manhattan, which has been turned into a giant maximum security prison.","Kurt Russell, Lee Van Cleef, Ernest Borgnine"
Escape from L.A.,1996,,101 min,John Carpenter,5.7,"In 2013, Snake Plissken is tasked by a despotic U.S. President with entering Los Angeles - now an autonomous island prison - and recovering a doomsday device stolen by his renegade daughter.","Kurt Russell, Steve Buscemi, Stacy Keach"
The Fly,1986,,96 min,David Cronenberg,7.6,A botched experiment transmutes a man into a monstrous insect.,"Jeff Goldblum, Geena Davis, John Getz"
The Fly II,1989,,105 min,Chris Walas,5.1,"The almost-human son of ""Brundlefly"" searches for a cure to his mutated genes while being monitored by a nefarious corporation that wishes to continue his father's experiments.","Eric Stoltz, Daphne Zuniga, Lee Richardson"
Innerspace,1987,,120 min,Joe Dante,6.8,"A test pilot is miniaturized in a secret experiment, and accidentally injected into a hapless store clerk.","Dennis Quaid, Martin Short, Meg Ryan"
Honey I Shrunk the Kids,1989,,93 min,Joe Johnston,6.4,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,"Rick Moranis, Matt Frewer, Marcia Strassman"
Honey I Blew Up the Kid,1992,,89 min,Randal Kleiser,4.9,"The Szalinski family is back, this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall.","Rick Moranis, Marcia Strassman, Robert Oliveri"
The Exorcist,1973,,122 min,William Friedkin,8.1,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.","Ellen Burstyn, Max von Sydow, Linda Blair"
The Exorcist III,1990,,110 min,William Peter Blatty,6.5,"A police lieutenant uncovers more than he bargained for as his investigation of a series of murders, which have all the hallmarks of the deceased Gemini serial killer, leads him to question the patients of a psychiatric ward.","George C. Scott, Ed Flanders, Brad Dourif"
Exorcist: The Beginning,2004,,114 min,Renny Harlin,5.1,"In 1947, having abandoned his faith, Father Merrin joins an archaeological excavation in Kenya, where an ancient church has been unearthed and something much older waits to be awoken.","Stellan Skarsgård, Izabella Scorupco, James D'Arcy"
Dominion: Prequel to the Exorcist,2005,,117 min,Paul Schrader,5.1,"Decades before Father Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in Kenya. Merrin's initial battle with Pazuzu leads to the rediscovery of his faith.","Stellan Skarsgård, Gabriel Mann, Clara Bellar"
Psycho,1960,,109 min,Alfred Hitchcock,8.5,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,"Anthony Perkins, Janet Leigh, Vera Miles"
Psycho II,1983,,113 min,Richard Franklin,6.6,"After twenty-two years of psychiatric care, Norman Bates attempts to return to a life of solitude, but the specters of his crimes - and his mother - continue to haunt him.","Anthony Perkins, Vera Miles, Meg Tilly"
Psycho III,1986,,93 min,Anthony Perkins,5.5,"Norman Bates falls in love with a fallen nun who stays at the Bates Motel alongside a drifter and a curious reporter. Meanwhile, ""Mother"" is still watching.","Anthony Perkins, Diana Scarwid, Jeff Fahey"
Psycho IV: The Beginning,1990,,96 min,Mick Garris,5.4,Norman Bates recalls his childhood with his abusive mother while fearing his unborn child will inherit his split personality disorder.,"Anthony Perkins, CCH Pounder, Henry Thomas"
The Shining,1980,,146 min,Stanley Kubrick,8.4,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.","Jack Nicholson, Shelley Duvall, Danny Lloyd"
Scream,1996,,111 min,Wes Craven,7.4,"In the small town of Woodsboro, California, a masked killer known as Ghostface begins murdering high school students, and a group of friends must use their knowledge of horror movies to unmask the killer.","Neve Campbell, Courteney Cox, David Arquette"
Scream 2,1997,,120 min,Wes Craven,6.3,"A year after the Woodsboro murders, the survivors try to move on at Windsor College in Ohio-but when a new Ghostface killer starts a campus killing spree, they must face terror all over again.","Neve Campbell, Courteney Cox, David Arquette"
Scream 3,2000,,116 min,Wes Craven,5.7,"In Hollywood, a new Ghostface starts killing the cast of Stab 3, a movie sequel whose previous movies were based on the Woodsboro and Windsor College killings. Forcing the survivors of those previous attacks to confront terror onc...","David Arquette, Neve Campbell, Courteney Cox"
Scream 4,2011,,111 min,Wes Craven,6.2,"Ten years after the original Woodsboro murders, one of the survivors returns home to promote their new book about surviving trauma, only for a new Ghostface killer to emerge, targeting a new group of teens.","Lucy Hale, Roger Jackson, Shenae Grimes-Beech"
Scream 5,2022,,32 min,Shahzaib Yaqoob,N/A,N/A,"Levi Balla, David Beal, Patrick Bradbury"
The Ring,2002,,115 min,Gore Verbinski,7.1,A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,"Naomi Watts, Martin Henderson, Brian Cox"
The Ring Two,2005,,110 min,Hideo Nakata,5.4,"Six months after the incidents involving the lethal videotape, new clues prove that there is a new evil lurking in the darkness.","Naomi Watts, David Dorfman, Sissy Spacek"
Rings,2017,,102 min,F. Javier Gutiérrez,4.5,A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,"Matilda Lutz, Alex Roe, Johnny Galecki"
Saw,2004,,103 min,James Wan,7.6,"Two men awaken to find themselves on the opposite sides of a dead body, each with specific instructions to kill the other, escape or face the consequences. These two are the latest contestants in Jigsaw's games.","Cary Elwes, Leigh Whannell, Danny Glover"
Saw II,2005,,93 min,Darren Lynn Bousman,6.6,A detective and his team must rescue eight people trapped in a factory by a man known as Jigsaw.,"Donnie Wahlberg, Beverley Mitchell, Franky G"
Saw III,2006,,108 min,Darren Lynn Bousman,6.2,Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test.,"Tobin Bell, Shawnee Smith, Angus Macfadyen"
Saw IV,2007,,93 min,Darren Lynn Bousman,5.9,"Despite Jigsaw's death, and in order to save the lives of two of his colleagues, Lieutenant Rigg is forced to take part in a new game, which promises to test him to the limit.","Tobin Bell, Scott Patterson, Louis Ferreira"
Saw V,2008,,92 min,David Hackl,5.8,"Following Jigsaw's grisly demise, Mark Hoffman is commended as a hero, but Agent Strahm is suspicious, and delves into Hoffman's past. Meanwhile, another group of people are put through a series of gruesome tests.","Scott Patterson, Costas Mandylor, Tobin Bell"
Saw VI,2009,,90 min,Kevin Greutert,6.1,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.","Costas Mandylor, Mark Rolston, Betsy Russell"
Saw VII,2010,,N/A,N/A,N/A,N/A,N/A
Jigsaw,2017,,92 min,"Michael Spierig, Peter Spierig",5.7,Police search for a supposed to be dead killer who forces his victims to play sadistic games of life and death.,"Matt Passmore, Tobin Bell, Callum Keith Rennie"
The Conjuring,2013,,112 min,James Wan,7.5,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,"Patrick Wilson, Vera Farmiga, Ron Livingston"
The Conjuring 2,2016,,134 min,James Wan,7.3,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,"Vera Farmiga, Patrick Wilson, Madison Wolfe"
The Conjuring: The Devil Made Me Do It,2021,,112 min,Michael Chaves,6.2,"Arne Cheyenne Johnson stabs and murders his landlord, claiming to be under demonic possession while Ed and Lorraine Warren investigate the case and try to prove his innocence.","Patrick Wilson, Vera Farmiga, Ruairi O'Connor"
Insidious,2010,,103 min,James Wan,6.8,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,"Patrick Wilson, Rose Byrne, Ty Simpkins"
Insidious 3,2015,,3 min,Michael J. Gallagher,6.6,N/A,"Meg DeAngelis, Christian Delgrosso, Brittany Furlan"
The Sixth Sense,1999,,107 min,M. Night Shyamalan,8.2,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.","Bruce Willis, Haley Joel Osment, Toni Collette"
Signs,2002,,106 min,M. Night Shyamalan,6.8,"A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come.","Mel Gibson, Joaquin Phoenix, Rory Culkin"
The Visit,2015,,94 min,M. Night Shyamalan,6.3,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan"
Split,2016,,117 min,M. Night Shyamalan,7.3,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson"
Glass,2019,,129 min,M. Night Shyamalan,6.6,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.","James McAvoy, Bruce Willis, Samuel L. Jackson"
Old,2021,,108 min,M. Night Shyamalan,5.8,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","Gael García Bernal, Vicky Krieps, Rufus Sewell"
After,2019,,105 min,Jenny Gage,5.3,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.,"Josephine Langford, Hero Fiennes Tiffin, Khadijha Red Thunder"
The Happening,2008,,91 min,M. Night Shyamalan,5.0,"A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.","Mark Wahlberg, Zooey Deschanel, John Leguizamo"
Lady in the Water,2006,,110 min,M. Night Shyamalan,5.5,Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to...,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright"
The Village,2004,,108 min,M. Night Shyamalan,6.6,A series of events tests the beliefs of a small isolated countryside village.,"Sigourney Weaver, William Hurt, Joaquin Phoenix"
Wide Shut,1999,,159 min,Stanley Kubrick,7.5,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.","Tom Cruise, Nicole Kidman, Madison Eginton"
Suspiria,1977,,92 min,Dario Argento,7.3,An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,"Jessica Harper, Stefania Casini, Flavio Bucci"
Suspiria,2018,,92 min,Dario Argento,7.3,An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,"Jessica Harper, Stefania Casini, Flavio Bucci"
Deep Red,1975,,127 min,Dario Argento,7.5,A jazz pianist and a wisecracking journalist are pulled into a complex web of mystery after the former witnesses the brutal murder of a psychic.,"David Hemmings, Daria Nicolodi, Gabriele Lavia"
The Bird with the Crystal Plumage,1970,,96 min,Dario Argento,7.1,"An American writer vacationing in Rome attempts to unmask a serial killer he witnessed in the act of an attempted murder, and who is now hunting him and his girlfriend.","Tony Musante, Suzy Kendall, Enrico Maria Salerno"
Tenebre,1982,,65 min,Guido Brignone,1.6,N/A,"Ugo Ceseri, Vasco Creti, Olinto Cristina"
Inferno,1980,,121 min,Ron Howard,6.2,Robert Langdon must stop a madman from unleashing a virus that could kill half of the population.,"Tom Hanks, Felicity Jones, Irrfan Khan"
Giallo,2009,,92 min,Dario Argento,4.4,"In Italy, a woman fears her sister has been kidnapped; Inspector Enzo Avolfi fears it's worse. They team up to rescue her from a sadistic killer known only as Yellow.","Adrien Brody, Emmanuelle Seigner, Elsa Pataky"
The Texas Chain Saw Massacre,1974,,83 min,Tobe Hooper,7.4,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw.","Marilyn Burns, Edwin Neal, Allen Danziger"
The Texas Chainsaw Massacre 2,1986,,101 min,Tobe Hooper,5.6,A radio host is victimized by the cannibal family as a former Texas marshal hunts them.,"Dennis Hopper, Caroline Williams, Jim Siedow"
The Texas Chainsaw Massacre,2003,,98 min,Marcus Nispel,6.2,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers.","Jessica Biel, Jonathan Tucker, Andrew Bryniarski"
A Nightmare on Elm Street,1984,,91 min,Wes Craven,7.4,"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in rea...","Heather Langenkamp, Johnny Depp, Robert Englund"
A Nightmare on Elm Street 2,1985,,87 min,Jack Sholder,5.5,"A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world.","Robert Englund, Mark Patton, Kim Myers"
A Nightmare on Elm Street 3,1987,,96 min,Chuck Russell,6.7,"A psychiatrist, familiar with the knife-wielding dream demon Freddy Krueger, helps teens at a mental hospital battle the killer who is invading their dreams.","Heather Langenkamp, Craig Wasson, Patricia Arquette"
A Nightmare on Elm Street 4,1988,,93 min,Renny Harlin,5.6,"Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.","Robert Englund, Rodney Eastman, John Beckman"
A Nightmare on Elm Street 5,1989,,N/A,N/A,5.6,A audio book version of 'A Nightmare on Elm Street 5: The Dream Child' narrated by Robert Englund.,Robert Englund
Freddy vs. Jason,2003,,97 min,Ronny Yu,5.8,"Freddy Krueger and Jason Voorhees return to terrorize the teenagers of Elm Street. Only this time, they're out to get each other, too.","Robert Englund, Ken Kirzinger, Kelly Rowland"
A Nightmare on Elm Street,2010,,91 min,Wes Craven,7.4,"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in rea...","Heather Langenkamp, Johnny Depp, Robert Englund"
Friday the 13th,1980,,95 min,Sean S. Cunningham,6.4,"A group of teenage camp counselors attempt to re-open an abandoned summer camp with a tragic past, but they are stalked by a mysterious, relentless killer.","Betsy Palmer, Adrienne King, Jeannine Taylor"
Friday the 13th Part 2,1981,,87 min,Steve Miner,6.1,"Five years after the events of the first film, a summer camp next to the infamous Camp Crystal Lake is preparing to open, but the legend of Jason is weighing heavy on the proceedings.","Betsy Palmer, Amy Steel, John Furey"
Friday the 13th: The Final Chapter,1984,,91 min,Joseph Zito,6.0,"After being announced dead and taken to a morgue, Jason Voorhees spontaneously revives, escapes from the hospital, and stalks a group of friends renting a house in the countryside near Crystal Lake.","Erich Anderson, Judie Aronson, Peter Barton"
Friday the 13th: A New Beginning,1985,,92 min,Danny Steinmann,4.8,"Still haunted by his past, Tommy Jarvis, who, as a child, killed Jason Voorhees, is sent to a secluded halfway house in the countryside, where the killing of a young man triggers a brutal series of murders in the area.","Melanie Kinnaman, John Shepherd, Anthony Barrile"
Friday the 13th Part VI,1986,,86 min,Tom McLoughlin,6.0,"Tommy Jarvis exhumes Jason Voorhees to cremate his corpse, but inadvertently brings him back to life instead. The newly revived killer seeks revenge, and Tommy may be the only one who can stop him.","Thom Mathews, Jennifer Cooke, David Kagen"
Friday the 13th Part VII,1988,,15 min,N/A,8.0,The making of Friday the 13th Part VII: The New Blood (1988) with interviews with the cast and crew.,"Diana Barrows, John Carl Buechler, Kane Hodder, Elizabeth Kaitan"
Friday the 13th Part VIII,1989,,100 min,Rob Hedden,4.5,"Jason Voorhees is accidentally awakened from his watery grave and ends up stalking a ship full of graduating high-school students headed to Manhattan, New York.","Jensen Daggett, Kane Hodder, Todd Caldecott"
Jason X,2001,,92 min,James Isaac,4.5,"Jason Voorhees is cryogenically frozen at the beginning of the 21st century, and is discovered in the 25th century and taken to space. He gets thawed, and begins stalking and killing the crew of the spaceship that's transporting him.","Kane Hodder, Lexa Doig, Jeff Geddis"
Friday the 13th,2009,,95 min,Sean S. Cunningham,6.4,"A group of teenage camp counselors attempt to re-open an abandoned summer camp with a tragic past, but they are stalked by a mysterious, relentless killer.","Betsy Palmer, Adrienne King, Jeannine Taylor"
Halloween,1978,,91 min,John Carpenter,7.7,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois, to kill again.","Donald Pleasence, Jamie Lee Curtis, Tony Moran"
Halloween II,1981,,92 min,Rick Rosenthal,6.5,"While Dr. Loomis hunts for Michael Myers, a traumatized Laurie is rushed to Haddonfield Memorial Hospital, and The Shape is not far behind her.","Jamie Lee Curtis, Donald Pleasence, Charles Cyphers"
Halloween III: Season of the Witch,1982,,98 min,Tommy Lee Wallace,5.2,Kids all over America want Silver Shamrock masks for Halloween. Doctor Daniel Challis seeks to uncover a plot by Silver Shamrock owner Conal Cochran.,"Tom Atkins, Stacey Nelkin, Dan O'Herlihy"
Halloween 4,1988,,70 min,Dakota Miller,N/A,"Michael Myers is back to terrorize the sleepy town of Haddonfield once again. Maxwell Loomis is the only one who can stop his rage... Find out who survives in Dakota Miller's latest fan film "" HALLOWEEN 4""",N/A
Halloween 5,1989,,N/A,Dakota Miller,N/A,N/A,Skylar Lemon
Halloween: The Curse of Michael Myers,1995,,87 min,Joe Chappelle,4.7,"Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans.","Donald Pleasence, Paul Rudd, Marianne Hagan"
Halloween H20,1998,,86 min,Steve Miner,5.8,"Laurie Strode, now the dean of a Northern California private school with an assumed name, must battle the Shape one last time, as the life of her own son hangs in the balance.","Jamie Lee Curtis, Josh Hartnett, Adam Arkin"
Halloween Resurrection,2002,,90 min,Rick Rosenthal,3.9,"Three years after he last terrorized his sister, Michael Myers confronts her again, before traveling to Haddonfield to deal with the cast and crew of a reality show which is being broadcast from his old home.","Jamie Lee Curtis, Busta Rhymes, Brad Loree"
Halloween,2018,,91 min,John Carpenter,7.7,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois, to kill again.","Donald Pleasence, Jamie Lee Curtis, Tony Moran"
Halloween Kills,2021,,105 min,David Gordon Green,5.5,Surviving victims of Michael Myers form a vigilante mob and vow to end his reign of terror.,"Jamie Lee Curtis, Judy Greer, Andi Matichak"
Halloween Ends,2022,,111 min,David Gordon Green,5.0,"The plot follows the outcast Corey Cunningham who falls in love with Laurie Strode's granddaughter while a series of events, including crossing paths with Michael Myers, drives him to become a serial killer.","Jamie Lee Curtis, Andi Matichak, James Jude Courtney"
The Omen,1976,,111 min,Richard Donner,7.5,An American ambassador to Britain and his wife may be raising the Antichrist.,"Gregory Peck, Lee Remick, David Warner"
Poltergeist,1982,,114 min,Tobe Hooper,7.3,"A family's home becomes the center of paranormal activity that opens a doorway to the ""other side."" With help, they must cross over to get their daughter back.","JoBeth Williams, Heather O'Rourke, Craig T. Nelson"
The Poltergeist,1982,,90 min,N/A,N/A,N/A,"Margaret Anderson, Betty Blackler, Ysanne Churchman"
Jaws,1975,,124 min,Steven Spielberg,8.1,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.","Roy Scheider, Robert Shaw, Richard Dreyfuss"
The Thing,1982,,109 min,John Carpenter,8.2,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Kurt Russell, Wilford Brimley, Keith David"
Singin in the Rain,1952,,103 min,"Stanley Donen, Gene Kelly",8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Gene Kelly, Donald O'Connor, Debbie Reynolds"
Breakfast at Tiffany's,1961,,115 min,Blake Edwards,7.5,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.","Audrey Hepburn, George Peppard, Patricia Neal"
Some Like It Hot,1959,,121 min,Billy Wilder,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Marilyn Monroe, Tony Curtis, Jack Lemmon"
Ghostbusters,1984,,105 min,Ivan Reitman,7.8,"Armed with proton packs, four paranormal investigators battle mischievous ghouls in New York.","Bill Murray, Dan Aykroyd, Sigourney Weaver"
Ghostbusters II,1989,,108 min,Ivan Reitman,6.6,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.,"Bill Murray, Dan Aykroyd, Sigourney Weaver"
Ghostbusters: Afterlife,2021,,124 min,Jason Reitman,7.0,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","Carrie Coon, Paul Rudd, Finn Wolfhard"
Who Framed Roger Rabbit,1988,,104 min,Robert Zemeckis,7.7,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.","Bob Hoskins, Christopher Lloyd, Joanna Cassidy"
The Princess Bride,1987,,98 min,Rob Reiner,8.0,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Cary Elwes, Mandy Patinkin, Robin Wright"
The Grand Budapest Hotel,2014,,99 min,Wes Anderson,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric"
Juno,2007,,96 min,Jason Reitman,7.4,"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child.","Elliot Page, Michael Cera, Jennifer Garner"
Superbad,2007,,113 min,Greg Mottola,7.6,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse"
Sideways,2004,,127 min,Alexander Payne,7.5,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.","Paul Giamatti, Thomas Haden Church, Virginia Madsen"
About a Boy,2002,,101 min,"Chris Weitz, Paul Weitz",7.1,"Will, who attends single parent meetings to woo women, meets Marcus, a troubled 12-year-old boy. As they become friends, Will learns to be responsible while he helps Marcus with his studies.","Hugh Grant, Nicholas Hoult, Toni Collette"
Lost in Translation,2003,,102 min,Sofia Coppola,7.7,A fading movie star falls for a lonely young woman in Tokyo.,"Bill Murray, Scarlett Johansson, Giovanni Ribisi"
The Royal Tenenbaums,2001,,110 min,Wes Anderson,7.6,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,"Gene Hackman, Gwyneth Paltrow, Anjelica Huston"
Rushmore,1998,,93 min,Wes Anderson,7.6,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta.","Jason Schwartzman, Bill Murray, Olivia Williams"
Bottle Rocket,1996,,91 min,Wes Anderson,6.9,Three friends plan to pull off a simple robbery and go on the run.,"Luke Wilson, Owen Wilson, Ned Dowd"
The Life Aquatic with Steve Zissou,2004,,119 min,Wes Anderson,7.2,"With a plan to exact revenge on a legendary shark that killed his partner, oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.","Bill Murray, Owen Wilson, Anjelica Huston"
Moonrise Kingdom,2012,,94 min,Wes Anderson,7.8,"Two 12-year-olds, who live on an island, fall in love with each other and elope into the wilderness. While people set out on a search mission, a violent storm approaching them catches their attention.","Jared Gilman, Kara Hayward, Bruce Willis"
